index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,9inch,9inch
4,aave,Aave
5,aboard-exchange,Aboard Exchange
6,abstradex,AbstraDEX
7,abstradex-x-layer,Abstradex (X Layer)
8,acala_swap,Acala Swap
9,acdx,ACDX
10,ace,Ace
11,acsi_finance,Acsi Finance
12,aerodrome-base,Aerodrome (Base)
13,aerodrome-slipstream,Aerodrome SlipStream
14,aevo,Aevo
15,aftermath_finance,Aftermath Finance
16,agni-finance,Agni Finance
17,agora_swap,Agora Swap
18,aktionariat-ethereum,Aktionariat (Ethereum)
19,alcor,Alcor
20,alexgo,ALEX
21,algebra_finance,Algebra finance
22,alien-base,Alien Base
23,alienfi,AlienFi
24,allinxswap-opbnb,AllInXSwap (opBnb)
25,altcointrader,AltcoinTrader
26,alterdice,AlterDice
27,amaterasu,Amaterasu Finance
28,animeswap,Animeswap
29,antfarm-avalanche,Antfarm (Avalanche)
30,antfarm-ethereum,Antfarm (Ethereum) 
31,apertureswap,ApertureSwap
32,apeswap-arbitrum,Apeswap (Arbitrum)
33,apeswap_bsc,ApeSwap
34,apeswap_polygon,ApeSwap (Polygon)
35,apeswap_telos,Apeswap (Telos)
36,apex-omni,ApeX Omni
37,apex_pro,ApeX Pro
38,aprobit,Aprobit
39,aqx,AQX
40,aqx_derivatives,Flipster
41,arbidex,Arbidex
42,arbswap_arbitrum_one,Arbswap
43,archerswap,Archerswap
44,armada,Armada
45,arthswap,ArthSwap
46,arthswap-astar-zkevm,ArthSwap (Astar zkEVM)
47,ashswap,Ashswap
48,astroport_injective,Astroport (Injective)
49,astroport_neutron,Astroport (Neutron)
50,astroport_osmosis,Astroport (Osmosis)
51,astroport-sei,Astroport (Sei)
52,astroport_v2,Astroport V2
53,astrovault,Astrovault
54,auroraswap,AuroraSwap
55,autoshark_finance,AutoShark Finance
56,aux,AUX Exchange
57,ayin,AYIN
58,azbit,Azbit
59,babydogeswap,BabyDogeSwap
60,babyswap,BabySwap
61,backpack_exchange,Backpack Exchange 
62,baguette,Baguette
63,bakeryswap,Bakeryswap
64,bakeryswap-base,BakerySwap (Base)
65,balanced_network,Balanced
66,balancer,Balancer V2
67,balancer_arbitrum,Balancer V2 (Arbitrum)
68,balancer-gnosis,Balancer V2 (Gnosis)
69,balancer_polygon,Balancer V2 (Polygon)
70,balancer_v1,Balancer V1
71,balancer-v2-avalanche,Balancer V2 (Avalanche)
72,balancer-v2-base,Balancer V2 (Base)
73,balancer-v2-polygon-zkevm,Balancer V2 (Polygon zkEVM) 
74,bancor,Bancor (V2)
75,bancor_v3,Bancor (V3)
76,baptswap,BAPTSwap
77,baryon_network,Baryon Network
78,baryon-network-viction,BaryonSwap (Viction)
79,baseswap,BaseSwap
80,baseswap-v3,BaseSwap V3
81,basex,BaseX
82,basin,Basin
83,baso-finance,Baso Finance
84,bcex,BCEX
85,beamswap,Beamswap
86,beam-swap,Beam Swap
87,beethovenx,Beethoven X
88,beethoven_x_optimism,Beethoven X (Optimism)
89,benswap_smart_bitcoin_cash,Benswap
90,bevmswap,BEVMSwap
91,bibox,Bibox
92,bibox_futures,Bibox (Futures)
93,biconomy,Biconomy
94,bifrost_swap,Bifrost Swap
95,bigone,BigONE
96,bigone_futures,BigONE Futures
97,bilaxy,Bilaxy
98,binance,Binance
99,binance_dex,Binance DEX
100,binance_dex_mini,Binance DEX (Mini)
101,binance_futures,Binance (Futures)
102,binance_us,Binance US
103,binaryswap,BinarySwap
104,bingx,BingX
105,bingx_futures,BingX (Futures)
106,birake,Birake
107,bisq,Bisq
108,biswap,Biswap
109,biswap-v3-1,Biswap V3
110,bit2c,Bit2c
111,bit2me,Bit2Me
112,bitazza,Bitazza
113,bitbank,Bitbank
114,bitbay,zondacrypto
115,bitbegin,Bitbegin
116,bitbns,BitBNS
117,bitcastle,bitcastle
118,bitci,Bitci TR
119,bitcoin_com,FMFW.io
120,bitcointry_exchange,Bitcointry
121,bit_com,BIT
122,bitdelta,BitDelta
123,bitdex,Bitdex
124,bitexbook,BITEXBOOK
125,bitexen,Bitexen
126,bitexlive,Bitexlive
127,bitfinex,Bitfinex
128,bitfinex_futures,Bitfinex (Futures)
129,bitflyer,bitFlyer
130,bitflyer_futures,Bitflyer (Futures)
131,bitgenie-merlin-chain,BitGenie
132,bitget,Bitget
133,bitget_futures,Bitget Futures
134,bithumb,Bithumb
135,bitker,BITKER
136,bitkub,Bitkub
137,bitlo,Bitlo
138,bitmake,BitMake
139,bitmake_futures,BitMake Futures
140,bitmart,BitMart
141,bitmart_futures,Bitmart Futures
142,bitmax,AscendEX (BitMax)
143,bitmax_futures,AscendEX  (BitMax) (Futures)
144,bitmex,BitMEX (Derivative)
145,bitmex_spot,BitMEX
146,bitonbay,BitOnBay
147,bitopro,BitoPro
148,bitpanda,One Trading
149,bitrue,Bitrue
150,bitrue_futures,Bitrue (Futures)
151,bitso,Bitso
152,bitstamp,Bitstamp
153,bitsten,Bitsten
154,bitstorage,BitStorage
155,bitswap,BitSwap
156,bitswap-v2-bouncebit,BitSwap V2 (BounceBit)
157,bitswap-v3-bouncebit,BitSwap V3 (BounceBit) 
158,bittime,Bittime
159,bittrex,Bittrex Global
160,bitunix,Bitunix
161,bitunix_futures,Bitunix Futures
162,bitvavo,Bitvavo
163,bitvenus,BitVenus Futures
164,bitvenus_spot,BVOX
165,bladeswap,BladeSwap
166,bladeswap-volatile-pools-blast,BladeSwap (Volatile Pools)
167,blastdex,BlastDEX
168,blasterswap,BlasterSwap
169,blasterswap-v3,Blasterswap V3
170,blazeswap,Blazeswap (Songbird)
171,blazeswap-flare,BlazeSwap (Flare) 
172,blitz,Blitz
173,blockchain_com,Blockchain.com
174,blofin,BloFin (Futures)
175,blofin_spot,BloFin
176,bluelotusdao,BlueLotusDAO
177,bluemove,BlueMove
178,blueprint,Blueprint
179,blueshift,Blueshift
180,bobswap_polygon,BobSwap (Polygon)
181,bossswap,BossSwap
182,btc_alpha,BTC-Alpha
183,btcbox,BTCBOX
184,btcc,BTCC
185,btcmarkets,BTCMarkets
186,btc_trade_ua,BTC Trade UA
187,btcturk,BtcTurk | Kripto
188,btse,BTSE
189,btse_futures,BTSE (Futures)
190,bullish_com,Bullish
191,bunnyswap,BunnySwap
192,butter-xyz,Butter.xyz
193,buyucoin,BuyUcoin
194,bw,BWFX.pro
195,bybit,Bybit (Futures)
196,bybit_spot,Bybit
197,bydfi,BYDFi
198,bydfi-futures,BYDFi (Futures)
199,byte-exchange,Byte Exchange
200,camelot,Camelot
201,camelot-sanko,Camelot (Sanko)
202,camelot-v3,Camelot V3
203,canto_dex,Canto Dex
204,cantoswap,Cantoswap
205,capricorn,Capricorn
206,carbon,Carbon
207,catex,Catex
208,caviarnine,CaviarNine
209,cellana-finance,Cellana Finance
210,cetoswap,Cetoswap (Manta Pacific)
211,cetus,Cetus
212,cex,CEX.IO
213,chainex,ChainEX
214,changelly,Changelly PRO
215,changenow,ChangeNOW
216,cherryswap,CherrySwap
217,chiliz,ChilizX
218,chronos,Chronos
219,citadelswap,CitadelSwap
220,citex,CITEX
221,claimswap,Claimswap
222,cleopatra-exchange,Cleopatra Exchange
223,clipper-arbitrum,Clipper (Arbitrum)
224,clipper_ethereum,Clipper (Ethereum)
225,clipper_optimism,Clipper (Optimism)
226,clipper_polygon,Clipper (Polygon)
227,clone,Clone
228,cme_futures,CME Group
229,coinbase_international,Coinbase International Exchange
230,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
231,coincall,Coincall
232,coincatch,CoinCatch
233,coincatch_derivatives,CoinCatch Derivatives
234,coincheck,Coincheck
235,coindcx,CoinDCX
236,coinex,CoinEx
237,coinex_futures,CoinEx (Futures)
238,coinjar,CoinJar Exchange
239,coinlist,Coinlist
240,coin_metro,Coinmetro
241,coinone,Coinone
242,coinsbit,Coinsbit
243,coinspro,Coins.ph
244,coinstore,Coinstore
245,coinswap,CoinSwap
246,cointr,CoinTR Pro
247,cointr_derivatives,CoinTR Pro (Derivatives)
248,coinw,CoinW
249,coinw_futures,CoinW (Futures)
250,coinzoom,Coinzoom
251,comethswap,ComethSwap
252,common,Common
253,concave,Concave
254,convergence-finance-v2,Convergence Finance
255,c_patex,C-Patex
256,crema_finance,Crema Finance
257,crescent,Crescent
258,crodex,Crodex
