index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,aave,Aave
4,abcc,ABCC
5,acala_swap,Acala Swap
6,acdx,ACDX
7,ace,Ace
8,acsi_finance,Acsi Finance
9,aerodrome-base,Aerodrome (Base)
10,aevo,Aevo
11,agni-finance,Agni Finance
12,agora_swap,Agora Swap
13,alexgo,ALEX
14,algebra_finance,Algebra finance
15,alien-base,Alien Base
16,alienfi,AlienFi
17,allinxswap-opbnb,AllInXSwap (opBnb)
18,alpha_five,Alpha5
19,altcointrader,AltcoinTrader
20,alterdice,AlterDice
21,altmarkets,Altmarkets
22,amaterasu,Amaterasu Finance
23,animeswap,Animeswap
24,apertureswap,ApertureSwap
25,apeswap-arbitrum,Apeswap (Arbitrum)
26,apeswap_bsc,ApeSwap
27,apeswap_polygon,ApeSwap (Polygon)
28,apeswap_telos,Apeswap (Telos)
29,apex_pro,ApeX Pro
30,aprobit,Aprobit
31,aqx,AQX
32,aqx_derivatives,Flipster
33,arbidex,Arbidex
34,arbswap_arbitrum_one,Arbswap
35,archerswap,Archerswap
36,arthswap,ArthSwap
37,ashswap,Ashswap
38,astroport,Astroport (Classic)
39,astroport_injective,Astroport (Injective)
40,astroport_neutron,Astroport (Neutron)
41,astroport-sei,Astroport (Sei)
42,astroport_v2,Astroport V2
43,astrovault,Astrovault
44,auroraswap,AuroraSwap
45,autoshark_finance,AutoShark Finance
46,aux,AUX Exchange
47,azbit,Azbit
48,b2bx,B2BX
49,babydogeswap,BabyDogeSwap
50,babyswap,BabySwap
51,baguette,Baguette
52,bakeryswap,Bakeryswap
53,bakeryswap-base,BakerySwap (Base)
54,bakkt,Bakkt
55,balanced_network,Balanced
56,balancer,Balancer V2
57,balancer_arbitrum,Balancer V2 (Arbitrum)
58,balancer-gnosis,Balancer V2 (Gnosis)
59,balancer_polygon,Balancer V2 (Polygon)
60,balancer_v1,Balancer V1
61,balancer-v2-avalanche,Balancer V2 (Avalanche)
62,balancer-v2-base,Balancer V2 (Base)
63,bancor,Bancor (V2)
64,bancor_v3,Bancor (V3)
65,baptswap,BAPTSwap
66,baryon_network,Baryon Network
67,basefex,BaseFEX
68,baseswap,BaseSwap
69,baso-finance,Baso Finance
70,bcex,BCEX
71,beamswap,Beamswap
72,beaxy,Beaxy
73,beethovenx,Beethoven X
74,beethoven_x_optimism,Beethoven X (Optimism)
75,benswap_smart_bitcoin_cash,Benswap
76,bgogo,Bgogo
77,bibox,Bibox
78,bibox_futures,Bibox (Futures)
79,biconomy,Biconomy
80,bigone,BigONE
81,bigone_futures,BigONE Futures
82,bilaxy,Bilaxy
83,binance,Binance
84,binance_dex,Binance DEX
85,binance_dex_mini,Binance DEX (Mini)
86,binance_futures,Binance (Futures)
87,binance_us,Binance US
88,binaryswap,BinarySwap
89,bingx,BingX
90,bingx_futures,BingX (Futures)
91,bione,BiONE
92,birake,Birake
93,bisq,Bisq
94,biswap,Biswap
95,bit2c,Bit2c
96,bit2me,Bit2Me
97,bitazza,Bitazza
98,bitbank,Bitbank
99,bitbay,zondacrypto
100,bitbegin,Bitbegin
101,bitbns,BitBNS
102,bitbox,BITFRONT
103,bitci,Bitci TR
104,bitcoin_com,FMFW.io
105,bitcointry_exchange,Bitcointry Exchange
106,bit_com,BIT
107,bit_com_futures,BIT (Futures)
108,bitexbook,BITEXBOOK
109,bitexen,Bitexen
110,bitexlive,Bitexlive
111,bitfex,Bitfex
112,bitfinex,Bitfinex
113,bitfinex_futures,Bitfinex (Futures)
114,bitflyer,bitFlyer
115,bitflyer_futures,Bitflyer (Futures)
116,bitforex,Bitforex
117,bitforex_futures,Bitforex (Futures)
118,bitget,Bitget
119,bitget_futures,Bitget Futures
120,bithash,BitHash
121,bithumb,Bithumb
122,bithumb_futures,Bithumb (Futures)
123,bithumb_global,BitGlobal
124,bitinka,Bitinka.com
125,bitkonan,BitKonan
126,bitkub,Bitkub
127,bitlo,Bitlo
128,bitmake,BitMake
129,bitmake_futures,BitMake Futures
130,bitmart,BitMart
131,bitmart_futures,Bitmart Futures
132,bitmax,AscendEX (BitMax)
133,bitmax_futures,AscendEX  (BitMax) (Futures)
134,bitmex,BitMEX (Derivative)
135,bitmex_spot,BitMEX
136,bitonbay,BitOnBay
137,bitopro,BitoPro
138,bitpanda,One Trading
139,bitrue,Bitrue
140,bitrue_futures,Bitrue (Futures)
141,bitso,Bitso
142,bitstamp,Bitstamp
143,bitsten,Bitsten
144,bitstorage,BitStorage
145,bittime,Bittime
146,bittrex,Bittrex Global
147,bitubu,Bitubu Exchange
148,bitunix,Bitunix
149,bitunix_futures,Bitunix Futures
150,bitvavo,Bitvavo
151,bitvenus,BitVenus Futures
152,bitvenus_spot,BitVenus
153,bitz_futures,BitZ (Futures)
154,bkex,BKEX
155,blazeswap,Blazeswap (Songbird)
156,blazeswap-flare,BlazeSwap (Flare) 
157,blockchain_com,Blockchain.com
158,blofin,Blofin
159,bluemove,BlueMove
160,bobswap_polygon,BobSwap (Polygon)
161,bossswap,BossSwap
162,btc_alpha,BTC-Alpha
163,btcbox,BTCBOX
164,btcc,BTCC
165,btcc_futures,BTCC Futures
166,btcmarkets,BTCMarkets
167,btcmex,BTCMEX
168,btcsquare,BTCSquare
169,btc_trade_ua,BTC Trade UA
170,btcturk,BtcTurk | Kripto
171,btse,BTSE
172,btse_futures,BTSE (Futures)
173,bullish_com,Bullish
174,buyucoin,BuyUcoin
175,bw,BW.com
176,bybit,Bybit (Futures)
177,bybit_spot,Bybit
178,bydfi,BYDFi
179,byte-exchange,Byte Exchange
180,bytex,Bytex
181,camelot,Camelot
182,camelot-v3,Camelot V3
183,canto_dex,Canto Dex
184,cantoswap,Cantoswap
185,capricorn,Capricorn
186,carbon,Carbon
187,catex,Catex
188,cetus,Cetus
189,cex,CEX.IO
190,chainex,ChainEX
191,changelly,Changelly PRO
192,cherryswap,CherrySwap
193,chiliz,ChilizX
194,chronos,Chronos
195,citex,CITEX
196,claimswap,Claimswap
197,clipper_ethereum,Clipper (Ethereum)
198,clipper_moonbeam,Clipper (Moonbeam)
199,clipper_optimism,Clipper (Optimism)
200,clipper_polygon,Clipper (Polygon)
201,cme_futures,CME Group
202,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
203,coincatch,CoinCatch
204,coincatch_derivatives,Coincatch Derivatives
205,coincheck,Coincheck
206,coindcx,CoinDCX
207,coindeal,Coindeal
208,coin_egg,CoinEgg
209,coinex,CoinEx
210,coinex_futures,CoinEx (Futures)
211,coinfalcon,Coinfalcon
212,coinfield,Coinfield
213,coinflex,CoinFLEX
214,coinflex_futures,CoinFLEX (Futures)
215,coingi,Coingi
216,coinjar,CoinJar Exchange
217,coinlist,Coinlist
218,coinmargin,CoinMargin
219,coin_metro,Coinmetro
220,coinone,Coinone
221,coinsbit,Coinsbit
222,coinspro,Coins.ph
223,coinstore,Coinstore
224,cointiger,CoinTiger
225,cointiger_futures,CoinTiger (Futures)
226,cointr,CoinTR Pro
227,cointr_derivatives,CoinTR Pro (Derivatives)
228,coinw,CoinW
229,coinzix,Coinzix
230,coinzoom,Coinzoom
231,comethswap,ComethSwap
232,concave,Concave
233,c_patex,C-Patex
234,crema_finance,Crema Finance
235,crescent,Crescent
236,crex24,CREX24
237,crodex,Crodex
238,cronaswap,Cronaswap
239,cronus_finance,Cronus Finance
240,croswap,CroSwap
241,crowdswap-polygon,CrowdSwap (Polygon)
242,crypto_com,Crypto.com Exchange
243,crypto_com_futures,Crypto.com Exchange (Futures)
244,cryptology,Cryptology
245,cswap,cSwap
246,c_trade,C-Trade
247,cubiswap,CUBISwap
248,currency,Currency.com
249,curve_arbitrum,Curve (Arbitrum)
250,curve_avalanche,Curve (Avalanche)
251,curve_ethereum,Curve (Ethereum)
252,curve_fantom,Curve (Fantom)
253,curve_moonbeam,Curve (Moonbeam)
254,curve_optimism,Curve (Optimism)
255,curve_polygon,Curve (Polygon)
256,curve_xdai,Curve (Xdai)
257,dackieswap,DackieSwap V3
258,dackieswap-v2,DackieSwap V2
259,dao_swap,DAO Swap
260,darkknight,Dark KnightSwap
261,dcoin,Dcoin
262,dedust,DeDust
263,deepcoin,Deepcoin
264,deepcoin_derivatives,Deepcoin (Derivatives)
265,defichain,DeFiChain DEX
266,defi_kingdoms,Defi Kingdoms
