id,name
capybaradex-v2,CapybaraDEX V2
capybaradex-v3,CapybaraDEX V3
carbon,Carbon Defi (Ethereum)
carbon-defi-celo,Carbon DeFi (Celo)
carbon-defi-seiv2,Carbon DeFi (Sei V2)
catex,Catex
caviarnine,CaviarNine
cellana-finance,Cellana Finance
cetoswap,Cetoswap (Manta Pacific)
cetus,Cetus
cex,CEX.IO
chainex,ChainEX
chainflip,Chainflip
changelly,Changelly PRO
changenow,ChangeNOW
cherryswap,CherrySwap
chronos,Chronos
citex,CITEX
claimswap,Claimswap
cleopatra-exchange,Cleopatra Exchange
clipper-arbitrum,Clipper (Arbitrum)
clipper_ethereum,Clipper (Ethereum)
clipper_optimism,Clipper (Optimism)
clipper_polygon,Clipper (Polygon)
cme_futures,CME Group
coinbase_international,Coinbase International Exchange
coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
coincall,Coincall
coincatch,CoinCatch
coincatch_derivatives,CoinCatch Derivatives
coincheck,Coincheck
coindcx,CoinDCX
coinex,CoinEx
coinex_futures,CoinEx (Futures)
coinjar,CoinJar Exchange
coinlist,Coinlist
coin_metro,Coinmetro
coinone,Coinone
coinspro,Coins.ph
coinstore,Coinstore
coinswap,CoinSwap
cointr,CoinTR
coinw,CoinW
coinw_futures,CoinW (Futures)
coinzoom,Coinzoom
comethswap,ComethSwap
common,Common
concave,Concave
convergence-finance-v2,Convergence Finance
corex,COREx
c_patex,C-Patex
crema_finance,Crema Finance
crescent,Crescent
crodex,Crodex
cronaswap,Cronaswap
cronus_finance,Cronus Finance
croswap,CroSwap
crowdswap-polygon,CrowdSwap (Polygon)
cryptal,Cryptal
crypto_com,Crypto.com Exchange
crypto_com_futures,Crypto.com Exchange (Futures)
cryptology,Tothemoon
cube,Cube
cubiswap,CUBISwap
currency,Currency.com
curve_arbitrum,Curve (Arbitrum)
curve_avalanche,Curve (Avalanche)
curve-base,Curve (Base)
curve-bsc,Curve (BSC)
curve-celo,Curve (Celo)
curve_ethereum,Curve (Ethereum)
curve_fantom,Curve (Fantom)
curve-fraxtal,Curve (Fraxtal)
curve-gnosis,Curve (Gnosis)
curve_moonbeam,Curve (Moonbeam)
curve_optimism,Curve (Optimism)
curve_polygon,Curve (Polygon)
curve-sonic,Curve (Sonic)
cyberblast-v2,Cyberblast V2
cyberblast-v3,Cyberblast V3
cyberperp,Cyberperp
cytoswap,Cytoswap
d8x-futures,D8X (Berachain)
dackieswap,DackieSwap V3
dackieswap-v2,DackieSwap V2
dackieswap-v3-mode,DackieSwap V3 (Mode)
daos-fun,Daos.fun
darkknight,Dark KnightSwap
datadex,DataDex
dcoin,Dcoin
dedust,DeDust
deepcoin,Deepcoin
deepcoin_derivatives,Deepcoin (Derivatives)
defichain,DeFiChain DEX
defi_kingdoms,Defi Kingdoms
defi_kingdoms_crystalvale,Defi Kingdoms (Crystalvale)
defiplaza_radix,DefiPlaza (Radix)
defi_swap,DeFi Swap
defive,DeFive
defx,Defx
degate,DeGate
degenswap-degenchain,DegenSwap
delta_futures,Delta Exchange (Futures)
delta_spot,Delta Exchange
deltaswap,DeltaSwap (Arbitrum)
deltaswap-base,Deltaswap (Base)
dem_exchange,Demex
demex_derivatives,Demex (Derivatives)
deribit,Deribit
deribit_spot,Deribit Spot
derive-futures,Derive (Futures)
derive-spot,Derive (Spot)
derpdex,DerpDEX (zkSync)
derpdex-base,DerpDEX (Base)
derpdex-opbnb,DerpDEX (opBnb)
deversifi,Rhino.fi
dexalot,Dexalot
dexie,dexie
dexlab,Dexlab
dexonic,Dexonic
dexter,Persistence DEX
dextrade,Dex-Trade
dezswap,Dezswap
dfx,DFX
dfyn,Dfyn
difx,DIFX
digifinex,DigiFinex
digitalexchange_id,Digitalexchange.id
dodo,DODO (Ethereum)
dodo_arbitrum,DODO (Arbitrum)
dodo-avalanche,DODO (Avalanche)
dodo_bsc,DODO (BSC)
dodo-mantle,DODO (Mantle)
dodo_polygon,DODO (Polygon)
dodo_zircuit,DODO (Zircuit)
dogeshrek,Dogeshrek
dogeswap,DogeSwap
dooar_bsc,DOOAR (BSC)
dooar_ethereum,DOOAR (Ethereum)
dooar-polygon,DOOAR (Polygon)
doveswap-v3,DoveSwap V3
dracula-finance,Dracula Finance
dragonswap,DragonSwap
dragonswap-v2,DragonSwap V2
dragonswap-v3,DragonSwap V3 (Kaia)
drift_protocol,Drift Protocol
dtxswap-taiko,DTXSwap (Taiko)
duckswap,DuckSwap
duckydefi,DuckyDeFi
dusa,Dusa
dydx_chain,dYdX Chain
dyorswap-berachain,DYORSwap (Berachain)
dyorswap-blast,DYORSwap (Blast)
dyorswap-degenchain,DYORSwap (Degen Chain)
dyorswap-ink,DYORSwap (Ink)
dyorswap-sonic,DYORSwap (Sonic)
dyorswap-world-chain,DYORSwap (World Chain)
dystopia,Dystopia
earnbit,EarnBIT
ebisus-bay,Ebisu's Bay
ebisus-bay-cronos-zkevm,Ebisu's Bay (Cronos zkEVM)
ebi-xyz,EBI.XYZ
echodex,EchoDEX
econia,Econia
ecxx,Ecxx
eddyfinance,EddyFinance
