index,id,name
0,1bch,1BCH
1,3xcalibur,3xcalibur
2,aave,Aave
3,aax,AAX
4,aax_futures,AAX Futures
5,abcc,ABCC
6,acala_swap,Acala Swap
7,acdx_futures,ACDX Futures
8,acsi_finance,Acsi Finance
9,aex,AEX
10,agora_swap,Agora Swap
11,alexgo,ALEX
12,algebra_finance,Algebra finance
13,alpha_five,Alpha5
14,altcointrader,AltcoinTrader
15,alterdice,AlterDice
16,altmarkets,Altmarkets
17,amaterasu,Amaterasu Finance
18,apeswap_bsc,ApeSwap
19,apeswap_polygon,ApeSwap (Polygon)
20,apeswap_telos,Apeswap (Telos)
21,aprobit,Aprobit
22,arthswap,ArthSwap
23,astroport,Astroport (Classic)
24,auroraswap,AuroraSwap
25,autoshark_finance,AutoShark Finance
26,azbit,Azbit
27,b2bx,B2BX
28,babydogeswap,BabyDogeSwap
29,babyswap,BabySwap
30,baguette,Baguette
31,bakeryswap,Bakeryswap
32,bakkt,Bakkt
33,balanced_network,Balanced Network
34,balancer,Balancer (v2)
35,balancer_arbitrum,Balancer (Arbitrum)
36,balancer_polygon,Balancer (Polygon)
37,balancer_v1,Balancer (v1)
38,bancor,Bancor (V2)
39,bancor_v3,Bancor (V3)
40,baryon_network,Baryon Network
41,basefex,BaseFEX
42,beamswap,Beamswap
43,beaxy,Beaxy
44,beethovenx,Beethoven X
45,benswap_smart_bitcoin_cash,Benswap
46,bgogo,Bgogo
47,bibox,Bibox
48,bibox_futures,Bibox (Futures)
49,biconomy,Biconomy
50,bigone,BigONE
51,bigone_futures,BigONE Futures
52,bilaxy,Bilaxy
53,binance,Binance
54,binance_dex,Binance DEX
55,binance_dex_mini,Binance DEX (Mini)
56,binance_futures,Binance (Futures)
57,binance_us,Binance US
58,bingx,BingX
59,bingx_futures,BingX (Futures)
60,bione,BiONE
61,birake,Birake
62,bisq,Bisq
63,biswap,Biswap
64,bit2c,Bit2c
65,bitazza,Bitazza
66,bitbank,Bitbank
67,bitbay,Zonda
68,bitbns,BitBNS
69,bitbox,BITFRONT
70,bitbuy,Bitbuy
71,bitci,Bitci
72,bitcoin_com,FMFW.io
73,bit_com,BIT
74,bit_com_futures,BIT (Futures)
75,bitexbook,BITEXBOOK
76,bitexen,Bitexen
77,bitexlive,Bitexlive
78,bitfex,Bitfex
79,bitfinex,Bitfinex
80,bitfinex_futures,Bitfinex (Futures)
81,bitflyer,bitFlyer
82,bitflyer_futures,Bitflyer (Futures)
83,bitforex,Bitforex
84,bitforex_futures,Bitforex (Futures)
85,bitget,Bitget
86,bitget_futures,Bitget Futures
87,bithash,BitHash
88,bithumb,Bithumb
89,bithumb_futures,Bithumb (Futures)
90,bithumb_global,BitGlobal
91,bitinka,Bitinka.com
92,bitkonan,BitKonan
93,bitkub,Bitkub
94,bitlo,Bitlo
95,bitmart,BitMart
96,bitmart_futures,Bitmart Futures
97,bitmax,AscendEX (BitMax)
98,bitmax_futures,AscendEX  (BitMax) (Futures)
99,bitmex,BitMEX (Derivative)
100,bitmex_spot,BitMEX
101,bitoffer,Bitoffer
102,bitonbay,BitOnBay
103,bitopro,BitoPro
104,bitpanda,Bitpanda Pro
105,bitrue,Bitrue
106,bitrue_futures,Bitrue (Futures)
107,bitso,Bitso
108,bitstamp,Bitstamp
109,bitsten,Bitsten
110,bitstorage,BitStorage
111,bittrex,Bittrex
112,bitubu,Bitubu Exchange
113,bitvavo,Bitvavo
114,bitz_futures,BitZ (Futures)
115,bkex,BKEX
116,blockchain_com,Blockchain.com
117,bossswap,BossSwap
118,btc_alpha,BTC-Alpha
119,btcbox,BTCBOX
120,btcc,BTCC
121,btcc_futures,BTCC Futures
122,btcex,BTCEX
123,btcex_futures,BTCEX (Futures)
124,btcmarkets,BTCMarkets
125,btcmex,BTCMEX
126,btcsquare,BTCSquare
127,btc_trade_ua,BTC Trade UA
128,btcturk,BtcTurk PRO
129,btse,BTSE
130,btse_futures,BTSE (Futures)
131,bullish_com,Bullish
132,buyucoin,BuyUcoin
133,bw,BW.com
134,bybit,Bybit (Futures)
135,bybit_spot,Bybit
136,camelot,Camelot
137,canto_dex,Canto Dex
138,capricorn,Capricorn
139,catex,Catex
140,cbx,CBX
141,ccex,C-CEX
142,cex,CEX.IO
143,chainex,ChainEX
144,changelly,Changelly PRO
145,cherryswap,CherrySwap
146,chiliz,ChilizX
147,citex,CITEX
148,claimswap,Claimswap
149,clipper_ethereum,Clipper (Ethereum)
150,clipper_moonbeam,Clipper (Moonbeam)
151,clipper_optimism,Clipper (Optimism)
152,clipper_polygon,Clipper (Polygon)
153,cme_futures,CME Group
154,coinbene,CoinBene
155,coincheck,Coincheck
156,coindcx,CoinDCX
157,coindeal,Coindeal
158,coin_egg,CoinEgg
159,coinex,CoinEx
160,coinex_futures,CoinEx (Futures)
161,coinfalcon,Coinfalcon
162,coinfield,Coinfield
163,coinflex,CoinFLEX
164,coinflex_futures,CoinFLEX (Futures)
165,coingi,Coingi
166,coinjar,CoinJar Exchange
167,coinlist,Coinlist
168,coinmargin,CoinMargin
169,coin_metro,Coinmetro
170,coinone,Coinone
171,coinsbit,Coinsbit
172,coinspro,Coins.ph
173,coinstore,Coinstore
174,cointiger,CoinTiger
175,cointiger_futures,CoinTiger (Futures)
176,coinzix,Coinzix
177,coinzoom,Coinzoom
178,comethswap,ComethSwap
179,concave,Concave
