index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,9inch,9inch
4,aave,Aave
5,aboard-exchange,Aboard Exchange
6,abstradex,AbstraDEX
7,abstradex-x-layer,Abstradex (X Layer)
8,acala_swap,Acala Swap
9,acdx,ACDX
10,ace,Ace
11,acsi_finance,Acsi Finance
12,aerodrome-base,Aerodrome (Base)
13,aerodrome-slipstream,Aerodrome SlipStream
14,aevo,Aevo
15,aftermath_finance,Aftermath Finance
16,agni-finance,Agni Finance
17,agora_swap,Agora Swap
18,aktionariat-ethereum,Aktionariat (Ethereum)
19,alcor,Alcor
20,alexgo,ALEX
21,algebra_finance,Algebra finance
22,alien-base,Alien Base
23,alienfi,AlienFi
24,allinxswap-opbnb,AllInXSwap (opBnb)
25,altcointrader,AltcoinTrader
26,alterdice,AlterDice
27,amaterasu,Amaterasu Finance
28,animeswap,Animeswap
29,antfarm-avalanche,Antfarm (Avalanche)
30,antfarm-ethereum,Antfarm (Ethereum) 
31,apertureswap,ApertureSwap
32,apeswap-arbitrum,Apeswap (Arbitrum)
33,apeswap_bsc,ApeSwap
34,apeswap_polygon,ApeSwap (Polygon)
35,apeswap_telos,Apeswap (Telos)
36,apex_pro,ApeX Pro
37,aprobit,Aprobit
38,aqx,AQX
39,aqx_derivatives,Flipster
40,arbidex,Arbidex
41,arbswap_arbitrum_one,Arbswap
42,archerswap,Archerswap
43,armada,Armada
44,arthswap,ArthSwap
45,arthswap-astar-zkevm,ArthSwap (Astar zkEVM)
46,ashswap,Ashswap
47,astroport_injective,Astroport (Injective)
48,astroport_neutron,Astroport (Neutron)
49,astroport_osmosis,Astroport (Osmosis)
50,astroport-sei,Astroport (Sei)
51,astroport_v2,Astroport V2
52,astrovault,Astrovault
53,auroraswap,AuroraSwap
54,autoshark_finance,AutoShark Finance
55,aux,AUX Exchange
56,ayin,AYIN
57,azbit,Azbit
58,babydogeswap,BabyDogeSwap
59,babyswap,BabySwap
60,backpack_exchange,Backpack Exchange 
61,baguette,Baguette
62,bakeryswap,Bakeryswap
63,bakeryswap-base,BakerySwap (Base)
64,balanced_network,Balanced
65,balancer,Balancer V2
66,balancer_arbitrum,Balancer V2 (Arbitrum)
67,balancer-gnosis,Balancer V2 (Gnosis)
68,balancer_polygon,Balancer V2 (Polygon)
69,balancer_v1,Balancer V1
70,balancer-v2-avalanche,Balancer V2 (Avalanche)
71,balancer-v2-base,Balancer V2 (Base)
72,balancer-v2-polygon-zkevm,Balancer V2 (Polygon zkEVM) 
73,bancor,Bancor (V2)
74,bancor_v3,Bancor (V3)
75,baptswap,BAPTSwap
76,baryon_network,Baryon Network
77,baryon-network-viction,BaryonSwap (Viction)
78,baseswap,BaseSwap
79,baseswap-v3,BaseSwap V3
80,basex,BaseX
81,basin,Basin
82,baso-finance,Baso Finance
83,bcex,BCEX
84,beamswap,Beamswap
85,beam-swap,Beam Swap
86,beethovenx,Beethoven X
87,beethoven_x_optimism,Beethoven X (Optimism)
88,benswap_smart_bitcoin_cash,Benswap
89,bevmswap,BEVMSwap
90,bibox,Bibox
91,bibox_futures,Bibox (Futures)
92,biconomy,Biconomy
93,bifrost_swap,Bifrost Swap
94,bigone,BigONE
95,bigone_futures,BigONE Futures
96,bilaxy,Bilaxy
97,binance,Binance
98,binance_dex,Binance DEX
99,binance_dex_mini,Binance DEX (Mini)
100,binance_futures,Binance (Futures)
101,binance_us,Binance US
102,binaryswap,BinarySwap
103,bingx,BingX
104,bingx_futures,BingX (Futures)
105,bione,BiONE
106,birake,Birake
107,bishang,Bishang
108,bisq,Bisq
109,biswap,Biswap
110,biswap-v3-1,Biswap V3
111,bit2c,Bit2c
112,bit2me,Bit2Me
113,bitazza,Bitazza
114,bitbank,Bitbank
115,bitbay,zondacrypto
116,bitbegin,Bitbegin
117,bitbns,BitBNS
118,bitcastle,bitcastle
119,bitci,Bitci TR
120,bitcoin_com,FMFW.io
121,bitcointry_exchange,Bitcointry
122,bit_com,BIT
123,bitdelta,BitDelta
124,bitdex,Bitdex
125,bitexbook,BITEXBOOK
126,bitexen,Bitexen
127,bitexlive,Bitexlive
128,bitfinex,Bitfinex
129,bitfinex_futures,Bitfinex (Futures)
130,bitflyer,bitFlyer
131,bitflyer_futures,Bitflyer (Futures)
132,bitgenie-merlin-chain,BitGenie
133,bitget,Bitget
134,bitget_futures,Bitget Futures
135,bithash,BitHash
136,bithumb,Bithumb
137,bitker,BITKER
138,bitkub,Bitkub
139,bitlo,Bitlo
140,bitmake,BitMake
141,bitmake_futures,BitMake Futures
142,bitmart,BitMart
143,bitmart_futures,Bitmart Futures
144,bitmax,AscendEX (BitMax)
145,bitmax_futures,AscendEX  (BitMax) (Futures)
146,bitmex,BitMEX (Derivative)
147,bitmex_spot,BitMEX
148,bitonbay,BitOnBay
149,bitopro,BitoPro
150,bitpanda,One Trading
151,bitrue,Bitrue
152,bitrue_futures,Bitrue (Futures)
153,bitso,Bitso
154,bitstamp,Bitstamp
155,bitsten,Bitsten
156,bitstorage,BitStorage
157,bitswap,BitSwap
158,bitswap-v2-bouncebit,BitSwap V2 (BounceBit)
159,bitswap-v3-bouncebit,BitSwap V3 (BounceBit) 
160,bittime,Bittime
161,bittrex,Bittrex Global
162,bitunix,Bitunix
163,bitunix_futures,Bitunix Futures
164,bitvavo,Bitvavo
165,bitvenus,BitVenus Futures
166,bitvenus_spot,BitVenus
167,bladeswap,BladeSwap
168,bladeswap-volatile-pools-blast,BladeSwap (Volatile Pools)
169,blastdex,BlastDEX
170,blasterswap,BlasterSwap
171,blasterswap-v3,Blasterswap V3
172,blazeswap,Blazeswap (Songbird)
173,blazeswap-flare,BlazeSwap (Flare) 
174,blitz,Blitz
175,blockchain_com,Blockchain.com
176,blofin,BloFin (Futures)
177,blokmy,Blokmy
178,bluelotusdao,BlueLotusDAO
179,bluemove,BlueMove
180,blueprint,Blueprint
181,blueshift,Blueshift
182,bobswap_polygon,BobSwap (Polygon)
183,bossswap,BossSwap
184,btc_alpha,BTC-Alpha
185,btcbox,BTCBOX
186,btcc,BTCC
187,btcmarkets,BTCMarkets
188,btc_trade_ua,BTC Trade UA
189,btcturk,BtcTurk | Kripto
190,btse,BTSE
191,btse_futures,BTSE (Futures)
192,bullish_com,Bullish
193,bunnyswap,BunnySwap
194,butter-xyz,Butter.xyz
195,buyucoin,BuyUcoin
196,bw,BWFX.pro
197,bybit,Bybit (Futures)
198,bybit_spot,Bybit
199,bydfi,BYDFi
200,bydfi-futures,BYDFi (Futures)
201,byte-exchange,Byte Exchange
202,camelot,Camelot
203,camelot-sanko,Camelot (Sanko)
204,camelot-v3,Camelot V3
205,canto_dex,Canto Dex
206,cantoswap,Cantoswap
207,capricorn,Capricorn
208,carbon,Carbon
209,catex,Catex
210,caviarnine,CaviarNine
211,cellana-finance,Cellana Finance
212,cetoswap,Cetoswap (Manta Pacific)
213,cetus,Cetus
214,cex,CEX.IO
215,chainex,ChainEX
216,changelly,Changelly PRO
217,cherryswap,CherrySwap
218,chiliz,ChilizX
219,chronos,Chronos
220,citadelswap,CitadelSwap
221,citex,CITEX
222,claimswap,Claimswap
223,cleopatra-exchange,Cleopatra Exchange
224,clipper-arbitrum,Clipper (Arbitrum)
225,clipper_ethereum,Clipper (Ethereum)
226,clipper_optimism,Clipper (Optimism)
227,clipper_polygon,Clipper (Polygon)
228,clone,Clone
229,cme_futures,CME Group
230,coinbase_international,Coinbase International Exchange
231,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
232,coincall,Coincall
233,coincatch,CoinCatch
234,coincatch_derivatives,CoinCatch Derivatives
235,coincheck,Coincheck
236,coindcx,CoinDCX
237,coinex,CoinEx
238,coinex_futures,CoinEx (Futures)
239,coinjar,CoinJar Exchange
240,coinlist,Coinlist
241,coin_metro,Coinmetro
242,coinone,Coinone
243,coinsbit,Coinsbit
244,coinspro,Coins.ph
245,coinstore,Coinstore
246,coinswap,CoinSwap
247,cointr,CoinTR Pro
248,cointr_derivatives,CoinTR Pro (Derivatives)
249,coinw,CoinW
250,coinw_futures,CoinW (Futures)
251,coinzoom,Coinzoom
252,comethswap,ComethSwap
253,concave,Concave
254,convergence-finance-v2,Convergence Finance
255,c_patex,C-Patex
256,crema_finance,Crema Finance
257,crescent,Crescent
258,crodex,Crodex
