index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,aave,Aave
4,abcc,ABCC
5,acala_swap,Acala Swap
6,acdx,ACDX
7,ace,Ace
8,acsi_finance,Acsi Finance
9,aerodrome-base,Aerodrome (Base)
10,aevo,Aevo
11,agni-finance,Agni Finance
12,agora_swap,Agora Swap
13,alexgo,ALEX
14,algebra_finance,Algebra finance
15,alien-base,Alien Base
16,alienfi,AlienFi
17,allinxswap-opbnb,AllInXSwap (opBnb)
18,alpha_five,Alpha5
19,altcointrader,AltcoinTrader
20,alterdice,AlterDice
21,altmarkets,Altmarkets
22,amaterasu,Amaterasu Finance
23,animeswap,Animeswap
24,apertureswap,ApertureSwap
25,apeswap-arbitrum,Apeswap (Arbitrum)
26,apeswap_bsc,ApeSwap
27,apeswap_polygon,ApeSwap (Polygon)
28,apeswap_telos,Apeswap (Telos)
29,apex_pro,ApeX Pro
30,aprobit,Aprobit
31,aqx,AQX
32,aqx_derivatives,Flipster
33,arbidex,Arbidex
34,arbswap_arbitrum_one,Arbswap
35,archerswap,Archerswap
36,arthswap,ArthSwap
37,ashswap,Ashswap
38,astroport,Astroport (Classic)
39,astroport_injective,Astroport (Injective)
40,astroport_neutron,Astroport (Neutron)
41,astroport-sei,Astroport (Sei)
42,astroport_v2,Astroport V2
43,astrovault,Astrovault
44,auroraswap,AuroraSwap
45,autoshark_finance,AutoShark Finance
46,aux,AUX Exchange
47,azbit,Azbit
48,b2bx,B2BX
49,babydogeswap,BabyDogeSwap
50,babyswap,BabySwap
51,baguette,Baguette
52,bakeryswap,Bakeryswap
53,bakeryswap-base,BakerySwap (Base)
54,bakkt,Bakkt
55,balanced_network,Balanced
56,balancer,Balancer V2
57,balancer_arbitrum,Balancer V2 (Arbitrum)
58,balancer-gnosis,Balancer V2 (Gnosis)
59,balancer_polygon,Balancer V2 (Polygon)
60,balancer_v1,Balancer V1
61,balancer-v2-avalanche,Balancer V2 (Avalanche)
62,balancer-v2-base,Balancer V2 (Base)
63,bancor,Bancor (V2)
64,bancor_v3,Bancor (V3)
65,baptswap,BAPTSwap
66,baryon_network,Baryon Network
67,basefex,BaseFEX
68,baseswap,BaseSwap
69,baso-finance,Baso Finance
70,bcex,BCEX
71,beamswap,Beamswap
72,beaxy,Beaxy
73,beethovenx,Beethoven X
74,beethoven_x_optimism,Beethoven X (Optimism)
75,benswap_smart_bitcoin_cash,Benswap
76,bgogo,Bgogo
77,bibox,Bibox
78,bibox_futures,Bibox (Futures)
79,biconomy,Biconomy
80,bigone,BigONE
81,bigone_futures,BigONE Futures
82,bilaxy,Bilaxy
83,binance,Binance
84,binance_dex,Binance DEX
85,binance_dex_mini,Binance DEX (Mini)
86,binance_futures,Binance (Futures)
87,binance_us,Binance US
88,binaryswap,BinarySwap
89,bingx,BingX
90,bingx_futures,BingX (Futures)
91,bione,BiONE
92,birake,Birake
93,bisq,Bisq
94,biswap,Biswap
95,biswap-v3-1,Biswap V3
96,bit2c,Bit2c
97,bit2me,Bit2Me
98,bitazza,Bitazza
99,bitbank,Bitbank
100,bitbay,zondacrypto
101,bitbegin,Bitbegin
102,bitbns,BitBNS
103,bitbox,BITFRONT
104,bitci,Bitci TR
105,bitcoin_com,FMFW.io
106,bitcointry_exchange,Bitcointry Exchange
107,bit_com,BIT
108,bit_com_futures,BIT (Futures)
109,bitdelta,BitDelta
110,bitexbook,BITEXBOOK
111,bitexen,Bitexen
112,bitexlive,Bitexlive
113,bitfex,Bitfex
114,bitfinex,Bitfinex
115,bitfinex_futures,Bitfinex (Futures)
116,bitflyer,bitFlyer
117,bitflyer_futures,Bitflyer (Futures)
118,bitforex,Bitforex
119,bitforex_futures,Bitforex (Futures)
120,bitget,Bitget
121,bitget_futures,Bitget Futures
122,bithash,BitHash
123,bithumb,Bithumb
124,bithumb_futures,Bithumb (Futures)
125,bithumb_global,BitGlobal
126,bitinka,Bitinka.com
127,bitkonan,BitKonan
128,bitkub,Bitkub
129,bitlo,Bitlo
130,bitmake,BitMake
131,bitmake_futures,BitMake Futures
132,bitmart,BitMart
133,bitmart_futures,Bitmart Futures
134,bitmax,AscendEX (BitMax)
135,bitmax_futures,AscendEX  (BitMax) (Futures)
136,bitmex,BitMEX (Derivative)
137,bitmex_spot,BitMEX
138,bitonbay,BitOnBay
139,bitopro,BitoPro
140,bitpanda,One Trading
141,bitrue,Bitrue
142,bitrue_futures,Bitrue (Futures)
143,bitso,Bitso
144,bitstamp,Bitstamp
145,bitsten,Bitsten
146,bitstorage,BitStorage
147,bittime,Bittime
148,bittrex,Bittrex Global
149,bitubu,Bitubu Exchange
150,bitunix,Bitunix
151,bitunix_futures,Bitunix Futures
152,bitvavo,Bitvavo
153,bitvenus,BitVenus Futures
154,bitvenus_spot,BitVenus
155,bitz_futures,BitZ (Futures)
156,bkex,BKEX
157,blazeswap,Blazeswap (Songbird)
158,blazeswap-flare,BlazeSwap (Flare) 
159,blockchain_com,Blockchain.com
160,blofin,Blofin
161,bluemove,BlueMove
162,bobswap_polygon,BobSwap (Polygon)
163,bossswap,BossSwap
164,btc_alpha,BTC-Alpha
165,btcbox,BTCBOX
166,btcc,BTCC
167,btcc_futures,BTCC Futures
168,btcmarkets,BTCMarkets
169,btcmex,BTCMEX
170,btcsquare,BTCSquare
171,btc_trade_ua,BTC Trade UA
172,btcturk,BtcTurk | Kripto
173,btse,BTSE
174,btse_futures,BTSE (Futures)
175,bullish_com,Bullish
176,buyucoin,BuyUcoin
177,bw,BW.com
178,bybit,Bybit (Futures)
179,bybit_spot,Bybit
180,bydfi,BYDFi
181,byte-exchange,Byte Exchange
182,bytex,Bytex
183,camelot,Camelot
184,camelot-v3,Camelot V3
185,canto_dex,Canto Dex
186,cantoswap,Cantoswap
187,capricorn,Capricorn
188,carbon,Carbon
189,catex,Catex
190,cetus,Cetus
191,cex,CEX.IO
192,chainex,ChainEX
193,changelly,Changelly PRO
194,cherryswap,CherrySwap
195,chiliz,ChilizX
196,chronos,Chronos
197,citex,CITEX
198,claimswap,Claimswap
199,clipper_ethereum,Clipper (Ethereum)
200,clipper_moonbeam,Clipper (Moonbeam)
201,clipper_optimism,Clipper (Optimism)
202,clipper_polygon,Clipper (Polygon)
203,cme_futures,CME Group
204,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
205,coincatch,CoinCatch
206,coincatch_derivatives,CoinCatch Derivatives
207,coincheck,Coincheck
208,coindcx,CoinDCX
209,coindeal,Coindeal
210,coin_egg,CoinEgg
211,coinex,CoinEx
212,coinex_futures,CoinEx (Futures)
213,coinfalcon,Coinfalcon
214,coinfield,Coinfield
215,coinflex,CoinFLEX
216,coinflex_futures,CoinFLEX (Futures)
217,coingi,Coingi
218,coinjar,CoinJar Exchange
219,coinlist,Coinlist
220,coinmargin,CoinMargin
221,coin_metro,Coinmetro
222,coinone,Coinone
223,coinsbit,Coinsbit
224,coinspro,Coins.ph
225,coinstore,Coinstore
226,cointiger,CoinTiger
227,cointiger_futures,CoinTiger (Futures)
228,cointr,CoinTR Pro
229,cointr_derivatives,CoinTR Pro (Derivatives)
230,coinw,CoinW
231,coinzix,Coinzix
232,coinzoom,Coinzoom
233,comethswap,ComethSwap
234,concave,Concave
235,c_patex,C-Patex
236,crema_finance,Crema Finance
237,crescent,Crescent
238,crex24,CREX24
239,crodex,Crodex
240,cronaswap,Cronaswap
241,cronus_finance,Cronus Finance
242,croswap,CroSwap
243,crowdswap-polygon,CrowdSwap (Polygon)
244,crypto_com,Crypto.com Exchange
245,crypto_com_futures,Crypto.com Exchange (Futures)
246,cryptology,Cryptology
247,cswap,cSwap
248,c_trade,C-Trade
249,cubiswap,CUBISwap
250,currency,Currency.com
251,curve_arbitrum,Curve (Arbitrum)
252,curve_avalanche,Curve (Avalanche)
253,curve_ethereum,Curve (Ethereum)
254,curve_fantom,Curve (Fantom)
255,curve_moonbeam,Curve (Moonbeam)
256,curve_optimism,Curve (Optimism)
257,curve_polygon,Curve (Polygon)
258,curve_xdai,Curve (Xdai)
259,dackieswap,DackieSwap V3
260,dackieswap-v2,DackieSwap V2
261,dao_swap,DAO Swap
262,darkknight,Dark KnightSwap
263,dcoin,Dcoin
264,dedust,DeDust
265,deepcoin,Deepcoin
266,deepcoin_derivatives,Deepcoin (Derivatives)
